date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:03	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Nov%202020%2002:16:01%20GMT	https://bull-of-tron.com/robots.txt		(from )
21:16:03	20351/20351	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202020%2014:31:59%20GMT	https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/indexecbb.html	(from )
21:16:03	22628/22628	---M--	200	added ('OK')	image/png	etag:%225f9ad25f-5864%22	https://bull-of-tron.com/assets/images/index-meta.png	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/images/index-meta.png	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:04	56448/56448	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225f9ad25f-dc80%22	https://bull-of-tron.com/assets/images/favicon.ico	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/images/favicon.ico	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:04	6178/6178	---MCZ	200	added ('OK')	text/css	etag:W/%225f9ad25f-1dbd%22	https://bull-of-tron.com/assets/web/assets/mobirise-icons/mobirise-icons.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/web/assets/mobirise-icons/mobirise-icons.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:04	153182/153182	---M-Z	200	added ('OK')	text/css	etag:W/%225f9ad25f-2565e%22	https://bull-of-tron.com/assets/bootstrap/css/bootstrap.min.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/bootstrap/css/bootstrap.min.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:04	48488/48488	---M-Z	200	added ('OK')	text/css	etag:W/%225f9ad25f-bd68%22	https://bull-of-tron.com/assets/bootstrap/css/bootstrap-grid.min.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/bootstrap/css/bootstrap-grid.min.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:05	3836/3836	---M-Z	200	added ('OK')	text/css	etag:W/%225f9ad25f-efc%22	https://bull-of-tron.com/assets/bootstrap/css/bootstrap-reboot.min.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:05	237/237	---MCZ	200	added ('OK')	text/css	etag:W/%225f9ad25f-ed%22	https://bull-of-tron.com/assets/tether/tether.min.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/tether/tether.min.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:05	6308/6308	---MCZ	200	added ('OK')	text/css	etag:W/%225f9ad25f-1f2e%22	https://bull-of-tron.com/assets/dropdown/css/style.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/dropdown/css/style.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:05	18771/18771	---MCZ	200	added ('OK')	text/css	etag:W/%225f9ad25f-5b39%22	https://bull-of-tron.com/assets/theme/css/style.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/theme/css/style.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:06	35910/35910	---MCZ	200	added ('OK')	text/css	etag:W/%225f9ad25f-a4df%22	https://bull-of-tron.com/assets/mobirise/css/mbr-additional.css	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/mobirise/css/mbr-additional.css	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:07	95/95	---M--	200	added ('OK')	image/png	etag:%223950a-5f-56ce71dc13b46%22	https://gtranslate.net/flags/blank.png	C:/Users/Owner/Desktop/TronDragon/gtranslate.net/flags/blank.png	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:07	50704/50704	---M--	200	added ('OK')	image/png	etag:%223950e-c610-56ce71dc2651a%22	https://gtranslate.net/flags/32.png	C:/Users/Owner/Desktop/TronDragon/gtranslate.net/flags/32.png	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:07	50700/50700	---M--	200	added ('OK')	image/png	etag:%223950b-c60c-56ce71dc18735%22	https://gtranslate.net/flags/32a.png	C:/Users/Owner/Desktop/TronDragon/gtranslate.net/flags/32a.png	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:08	2194/2194	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2001%20Nov%202020%2002:16:06%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/Users/Owner/Desktop/TronDragon/translate.google.com/translate_a/element.d7876.delayed	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:08	22628/22628	---M--	200	added ('OK')	image/png	etag:%225f9ad25f-5864%22	https://bull-of-tron.com/assets/images/logotrans-579x579.png	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/images/logotrans-579x579.png	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:08	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Nov%202020%2002:16:07%20GMT	https://bull-of-tron.com/index2.html	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/index2.html	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:09	20351/20351	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202020%2014:31:59%20GMT	https://bull-of-tron.com/?r=	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/index2a3b.html	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:09	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9ad25f-176bb%22	https://bull-of-tron.com/assets/web/assets/jquery/jquery.min.js	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/web/assets/jquery/jquery.min.js	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
21:16:09	18994/18994	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9ad25f-4a32%22	https://bull-of-tron.com/assets/popper/popper.min.js	C:/Users/Owner/Desktop/TronDragon/bull-of-tron.com/assets/popper/popper.min.js	(from https://bull-of-tron.com/?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website)
